"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18"
"1" 0.175177304500016 0.259863921912792 0.28569806226119 0.404379350849294 0.485827745577529 0.528751643656567 0.581418572428301 0.634120874722827 0.694096079648317 0.623503983585178 0.604413589983799 0.549502423330635 0.447775695768607 0.403447873383673 0.458039191473521 0.414683364085976 0.382930654964292 0.361478906287682
"2" 0.183485446974671 0.249555303026454 0.278941185775833 0.420904424252698 0.498808721442544 0.542358907602792 0.585117234662704 0.621776756062222 0.690500972136761 0.630569587224844 0.601554960939692 0.543651049710448 0.456276500781458 0.410535683097844 0.442613524464337 0.415694762108813 0.393884154385881 0.363411136051078
"3" 0.158691856495596 0.247474471796645 0.289980390615606 0.410052392660474 0.489458765035946 0.538536607569051 0.581793815020176 0.628206641771965 0.693018942197835 0.612331058007106 0.59257399566202 0.535358533112002 0.445311189630585 0.409744035112629 0.444732731760971 0.40027835117945 0.374833542186171 0.352477250725967
"4" 0.176151826718452 0.258108994010655 0.300558632058216 0.41646570695998 0.496256056494499 0.537226587403698 0.589432236531026 0.637653442898842 0.69142095618901 0.608872022950417 0.595406471002109 0.537702476730924 0.458668771824328 0.416592204078868 0.461129199705555 0.408478880014885 0.389487751189958 0.35496800777559
"5" 0.166934893825219 0.260618133853972 0.282535511022674 0.405429118461702 0.492731630684298 0.538344209269374 0.594006653826928 0.617533921751503 0.692858025473597 0.623252941006488 0.582339866879241 0.541881969956514 0.457850589789857 0.416705617323528 0.444284473402012 0.416434344016976 0.383683801055659 0.364167746227258
"6" 0.17525486961841 0.250692282827536 0.287359958435819 0.411383740270837 0.488513132233199 0.53435433477488 0.581837233146102 0.620128310727021 0.699465014128146 0.621561797203824 0.58928094892855 0.540499645506275 0.448417708078945 0.416043631208427 0.441704600285335 0.39088245149344 0.356919641724089 0.345457862518015
"7" 0.178920235402457 0.255435824365529 0.291778155687198 0.416590966666623 0.49623714454309 0.543938412175063 0.591402581358113 0.649060794252277 0.699077621838509 0.625753729780439 0.584340826500693 0.544615609269275 0.462889564174661 0.399175240480489 0.449123736536478 0.404278139397498 0.378131342505089 0.354692209758323
"8" 0.184259527758828 0.253024675747286 0.280211220666866 0.392885477534521 0.494402958241886 0.529011012833879 0.580037024099194 0.612763576265553 0.680905039784886 0.619683164383825 0.585134685425567 0.545329284773469 0.43978117704257 0.399633760451144 0.445008211695909 0.404499594882629 0.379070230286584 0.36131409698843
"9" 0.166824475644464 0.262714998770403 0.290473069220205 0.41374128982951 0.493831096911901 0.528762213305589 0.581643970763856 0.632114055384735 0.691546394771452 0.621787925610576 0.587800509338449 0.538159538131991 0.448347413921798 0.402861208874308 0.442165019187773 0.404006057685407 0.380256404486465 0.364681624217762
"10" 0.150325371566833 0.252357462660137 0.282708083683654 0.417745743219924 0.496816590697714 0.526062148508067 0.584436641098605 0.643662056367479 0.694985492054118 0.630959115796571 0.602274418028606 0.538311420938709 0.448455536891113 0.407684549954323 0.444066160192897 0.408574577181346 0.376686907397462 0.3576021945141
