"size" "max_diss" "av_diss" "isolation"
"1" 29 5.29862033080394 4.15190770326525 0.554033981951409
"2" 29 4.98773266439026 3.44275923069381 0.550382411200906
"3" 29 4.41563493100277 3.11610775949584 0.610852562904644
"4" 29 5.02357855273863 3.34700597037752 0.694954606040385
"5" 29 4.84121418330241 3.7267832585739 0.542519553241432
"6" 29 5.43892815158848 3.7919199035956 0.626757270902593
"7" 29 5.93349072778666 3.75066317130953 0.638615556459993
"8" 29 7.07373575807734 3.65193025608889 0.908801411247208
"9" 29 4.97946638100161 3.25983310823139 0.613238811529953
"10" 29 4.85482455148695 2.92920710479188 0.54404476790605
"11" 29 5.52296488584386 3.56085730248207 0.631746910232397
"12" 28 4.42690556385454 3.09780921653878 0.488496702276811
"13" 28 7.15276418861728 4.28517183457577 0.778924319002056
"14" 28 5.42604317345461 3.01696123383101 0.663163964297428
"15" 28 6.21968873546292 4.30280470909472 0.659160618524015
