"clus_id" "mean_tl" "size" "mean_diss" "mean_isolation"
1 1.76185480382791 30 0.453781398071774 1.67411154573155
2 0.971385079774636 37 0.356287793507652 0.832417803513675
3 1.66584636459467 35 0.435514854438064 1.39755641195546
4 1.55472428513845 72 0.318112977347627 3.21093479806768
5 1.69793208919225 11 0.55591696854789 1.28458397237986
6 1.66723450972103 210 0.16301177728071 2.30116728207232
7 1.66991302594492 4 3.703735497747 12.020466514829
8 1.78908261090908 29 0.274115204409969 1.76700672664255
9 1.3444685500798 2 0.347087725843104 0.498122594633643
10 0.9434751595485 1 0 0
