"V1" "V2" "V3"
"gene1.fasta" 0.0528668365846545 -0.583291051747273 0.405946580333434
"gene10.fasta" 0.727453164301735 0.621395297264096 -0.333492746359793
"gene100.fasta" -0.221254421842568 0.562885523995587 0.199727487886024
"gene101.fasta" -0.264149852963453 0.300099873351548 0.445059562255991
"gene102.fasta" 1.32608421861812 0.192904963461104 -0.380770407350273
"gene103.fasta" 1.32608421861812 0.192904963461103 -0.380770407350273
"gene104.fasta" -1.37126846009685 -1.13282634633013 -0.964217560561639
"gene105.fasta" 1.61953517037622 -0.0166428144843624 -0.435387086490549
"gene106.fasta" -0.0852293969938758 0.0832485197829116 0.00377357175027679
"gene107.fasta" -0.15210238775266 -1.05175781325346 0.33841880783215
"gene108.fasta" -0.0749842068407791 0.288159772218089 0.474521090821446
"gene109.fasta" -1.55940380635786 -1.61734180521459 -1.20461859224223
"gene11.fasta" -0.174320268966789 0.155064391133485 0.357454216680962
"gene110.fasta" -0.184403681365783 -1.11814186634862 0.384173060905299
"gene111.fasta" -0.378055752329566 -0.021327172296051 0.280074231178384
"gene112.fasta" -0.335093720703546 0.536561352993305 -0.0644902823296699
"gene113.fasta" -1.5483042777873 -0.447488963025515 -0.498062833179451
"gene114.fasta" -0.612440001344941 0.480883669969151 -0.157962948187296
"gene115.fasta" -0.446951644392085 0.19086015247226 -0.0291520744273227
"gene116.fasta" -0.333894056837735 0.563634045221172 0.129966345381662
"gene117.fasta" 1.30010675859711 0.231155171641413 -0.394972175809548
"gene118.fasta" 0.132604297996411 -0.882040209039895 -0.164629958042075
"gene119.fasta" 0.733313313598591 0.739514491414672 -0.262320559923733
"gene12.fasta" -0.0109653288956725 -0.405006887635974 0.223212754233093
"gene120.fasta" -0.1034322850502 0.357472399382456 0.129578720863151
"gene122.fasta" 0.400962223692845 0.632841036306049 -0.380758145210591
"gene123.fasta" -0.46301712481628 -0.805955875873408 -0.450995842434422
"gene124.fasta" 1.46501880091058 0.129472753606964 -0.500329784903904
"gene125.fasta" -0.450238014989846 0.252973617625078 0.146260459440898
"gene126.fasta" -0.397415482359878 -0.464300658844707 -0.405274175618113
"gene127.fasta" 0.681692967389107 -0.222038418476699 0.304450238896252
"gene128.fasta" -0.0586467544037595 -0.762206553033138 0.0308121875337414
"gene129.fasta" -0.150892148988838 0.00920732083542733 0.306603016299174
"gene13.fasta" -0.0351025561632115 0.0168844106885513 -0.0176202549882805
"gene130.fasta" 0.00575412731928166 -0.463828633511841 0.115941343872906
"gene131.fasta" -0.702849041726125 0.42990902591574 -0.403328527187095
"gene132.fasta" 0.107257979776347 -0.164894227040529 0.18414192156852
"gene134.fasta" -0.320061797702619 0.448340102956872 0.101607447853236
"gene137.fasta" 0.255947272847843 -0.793357047597589 0.305248775897019
"gene138.fasta" -0.406093344168523 0.257969887260271 0.0435452289518614
"gene139.fasta" -0.363575452306104 -0.0612529567924816 -0.0268547922880228
"gene14.fasta" -0.404043127433802 0.0172468261429329 0.191100322795008
"gene140.fasta" 1.61869430646113 0.231043717348657 -0.345991775335615
"gene141.fasta" 1.35335305146045 -0.0585324284364978 -0.444429581099927
"gene142.fasta" -0.146341539215279 0.132554696934115 0.288899729780598
"gene143.fasta" -0.292828030844369 0.506525626891612 0.00808417783477387
"gene144.fasta" -0.983109787906128 0.90148809034488 -0.260819307255234
"gene145.fasta" -0.89019302702938 0.368485786144391 -0.388996335256848
"gene146.fasta" -0.0954677326361631 0.167040737396114 0.252421693333109
"gene147.fasta" -0.0456104812521203 -0.0315878983386857 0.541922006704154
"gene148.fasta" 0.0544451217413446 0.130946144264584 0.273030154019669
"gene15.fasta" 0.0867925284855483 -0.834618475953614 0.478724422630801
"gene150.fasta" -0.0450044894082437 0.388195220749683 0.247858022649212
"gene151.fasta" 1.53375660761753 -0.0843883709715642 -0.377265262432881
