"size" "max_diss" "av_diss" "diameter" "separation"
"1" 40 0.0178267592089045 0.0145437103028286 0.0227225849423969 0.0289576462590341
"2" 40 0.0171122508584763 0.014747163093635 0.0214177786310041 0.0242148777469095
"3" 40 0.0172413240569197 0.0137496889498692 0.0214814039743082 0.0299306521238288
"4" 40 0.018960098055784 0.0146856841541018 0.0215461859668651 0.0285178955934124
"5" 40 0.0167028188559663 0.014085116388384 0.0241022489146622 0.0262592630572699
"6" 40 0.0177029306087926 0.0144694292081129 0.0212395772897655 0.0242148777469095
"7" 40 0.0180772823166011 0.0148881671954567 0.0224851374931322 0.0275501614861703
"8" 40 0.0174829328525826 0.0150133461348661 0.0224240116528906 0.0253556133322276
"9" 40 0.0173135799922748 0.0144805700747654 0.0216980807066704 0.0253556133322276
"10" 40 0.0187252035214374 0.0155866877384801 0.0224268246710506 0.0303108436025534
