"V1" "V2" "V3"
"A1.fasta" 0.320618729535244 -0.367852448821522 0.458843517759729
"A2.fasta" 0.273208001178693 0.100962769628852 -0.287464151641919
"A3.fasta" 0.307835280772451 -0.281135827432711 0.0344371247789681
"A4.fasta" 0.310264037561827 -0.0368343603754166 -0.196121125557038
"B1.fasta" 0.321410403457846 0.0855294667822283 0.175218859215309
"B2.fasta" 0.303649226230731 0.342363162622966 0.376344710024085
"B3.fasta" 0.326648384478758 0.0689384410505021 0.128598052432751
"B4.fasta" 0.334652113254505 0.0902260669095982 0.128101549664274
"C1.fasta" 0.243145711496411 0.156163117842223 -0.122111396692324
"C2.fasta" 0.283058451213078 -0.103828338500319 -0.0599794010956329
"C3.fasta" 0.303206010299969 0.382704555103308 0.283370198011843
"C4.fasta" 0.321492002621153 0.382886431146017 0.283510951194537
