"br1" "br2" "br3" "br4" "br5" "br6" "br7" "br8" "br9" "br10" "br11" "br12" "br13" "br14" "br15" "br16" "br17" "br18" "br19" "br20" "br21" "br22" "br23" "br24" "br25" "br26" "br27" "br28" "br29" "br30" "br31" "br32" "br33" "br34" "br35" "br36" "br37" "br38" "br39" "br40" "br41" "br42" "br43" "br44" "br45" "br46" "br47" "br48" "br49" "br50" "br51" "br52" "br53" "br54" "br55"
"gene1.fasta" 0.0194446162120811 0.00652656348378455 0.0388003689132412 0.00744398145606007 0.0344026794340711 0.0117645206241752 0.00988396478898728 0.016081345673266 0.0595356541192548 0.0131849395857228 0.0118220556043085 0.0252643961247213 0.0342338109513557 0.0149462012799875 0.00620886662723729 0.0167082664058433 0.00844433865384958 0.00867167348546466 0.0347637104943501 0.024491926943796 0.0170901661025814 0.00797926387602063 0.017517818229716 0.00473102149083608 0.0208566365041654 0.00824841357239021 0.00614858475673085 0.0118346489473919 0.0282664264533822 0.0253744434739329 0.0222579848980321 0.0313531632083076 0.0138285600006055 0.0318715417372659 0.00992443692688049 0.0106977631521816 0.0219925605033534 0.0269636177445411 0.00885436728504725 0.0197341977407468 0.0119981345931507 0.00839007053941915 0.0226432311328055 0.0105812500744473 0.0151108051790782 0.0135439667814817 0.0202941995487729 0.0223224349071643 0.0163906694431173 0.0312275793475005 0.0106244402204929 0.0172997977525905 0.0168383878220362 0.023110122217095 0.0114754129751803
"gene10.fasta" 0.00966795157433277 0.0214268784377263 0.0175864211511665 0.00220682806739694 0.015069762272081 0.0241413020373857 0.0239224535659329 0.0115320823430194 0.025996534329153 0.0207865985872011 0.00286101702690494 0.00564261712210989 0.0183980910035956 0.00697504039128681 0.0208226321349604 0.0255633944984109 0.00929950028486845 0.0178118704149607 0.0230405742538856 0.00241468692425121 0.0078601485526227 0.0146056260790337 0.0230426790901795 0.00594724131081709 0.00810320707649506 0.0142505195070995 0.0344561667379426 0.0267549477302836 0.0102900880440502 0.0203751701991458 0.0102526074368833 0.0192695020496056 0.0136868194605638 0.0200438796485993 0.0212259679478035 0.0131701402598259 0.0892047141225422 0.0229913471245895 0.026551559489438 0.0100154127612743 0.0138090419437301 0.013987267245255 0.0190760593920823 0.0150731420779362 0.0196484017438036 0.0375096640498319 0.0296219003326491 0.0209840950291733 0.0138539386071163 0.0137439291468865 0.0192214787498079 0.0111392582405947 0.0140838850349801 0.02389306508097 0.0170908922757577
"gene100.fasta" 0.0257940517392102 0.00724872164355676 0.014469079916201 0.0311247046541583 0.0176719010744008 0.024230401240311 0.0368914105265603 0.00783708677339321 0.013378142434042 0.0314895475409561 0.0192552491664194 0.0186846945788341 0.0283508878400636 0.00710018380773022 0.0128407011785747 0.0173322189900438 0.0140050049027028 0.0169967488998145 0.00667909483290418 0.0179990617613452 0.021777271946157 0.0104460387615748 0.00889082097651058 0.0166744610288505 0.0133656209326504 0.0158507402986785 0.028191474394116 0.050044518390049 0.00936313324912676 0.0181655599620445 0.023855749796866 0.0396671826849974 0.0210053547570228 0.0274270614807503 0.0118182514382135 0.0130702238597609 0.00775808020669993 0.0124329818505442 0.0149010847939166 0.00735926421751671 0.0222677888626167 0.017541530854593 0.0134227008238984 0.0339297308650295 0.00942997191702698 0.0103651746125572 0.0189831946480743 0.0127146281637687 0.0174691041071349 0.0164215066570348 0.0145875630631078 0.0154312651107088 0.0126923839318135 0.0139682477875898 0.0293314400677774
"gene101.fasta" 0.0117400142053362 0.0168389762264153 0.0262916174201496 0.0154856179492845 0.00813503428873968 0.0338249664861255 0.0108706732837746 0.030280774022154 0.0536830135941739 0.0208382184853196 0.00335529223112828 0.0176156292708025 0.0112453429987078 0.0239503263277442 0.0151000546625705 0.0159487876610432 0.0381473117074093 0.011362364546476 0.0163879283054805 0.0217412753366056 0.0191748966824486 0.0249600962938225 0.0168803244425635 0.0123140975778257 0.0195351831228851 0.014249611206367 0.0238127771034845 0.00738295072056573 0.016299808099568 0.0244201189834555 0.012428749511269 0.00507763419024001 0.00857845385395096 0.00719124621646021 0.0117704051110073 0.0174843081214994 0.0155399252266051 0.00847251205589275 0.031111236501958 0.015058378498118 0.0313300981100832 0.0213702658991012 0.011042714927835 0.0265323560580084 0.0099758853155749 0.0110178407495619 0.0151029856339239 0.00905386925678076 0.0192890845488938 0.0186223780777938 0.0287942986816542 0.0129918395054671 0.00774569644832606 0.043339818747885 0.0192049355096833
"gene102.fasta" 0.0158842587445163 0.0139670043292705 0.0189361013792625 0.0197569950422675 0.00882667844064155 0.0181423944826826 0.0127251239382256 0.0508838797714482 0.00441322737306549 0.0137460459113492 0.055499094706322 0.0213005728394944 0.00504346857412222 0.00913251888438675 0.00933264167219431 0.0296375447364345 0.0364884596505782 0.015491421495415 0.015667866141587 0.0106245245439023 0.0236245767244656 0.0146696787331016 0.0372616069373892 0.00783138609041283 0.010848826218652 0.00493195845836745 0.0123788772492646 0.0168413369492989 0.00829371588060496 0.0172508019654046 0.0154245629733144 0.0327940537372217 0.0199002062695949 0.00523540556313351 0.0231125522196335 0.0378586940204137 0.00932643894846646 0.0399490843545312 0.00619229106726859 0.00628915388420898 0.0198407080180824 0.013421550657522 0.0094724709926156 0.0298579271308875 0.0167817393803656 0.0127432428220671 0.0147983850107271 0.0218358930969482 0.0205379523081442 0.011860597583165 0.0137067711868842 0.0121762590337585 0.0347673153583613 0.00921701597958461 0.0234671405389718
"gene103.fasta" 0.0197558140318733 0.00388630659749088 0.0354688392419727 0.0104595715231877 0.030389991070298 0.0103965970717245 0.00494320428897103 0.0131391580238994 0.0682423506573358 0.0163634441535389 0.0112452100011755 0.025228631935685 0.0275692043299233 0.0134546987795324 0.00556155911273658 0.0207281283352114 0.0120111039704684 0.00640792627235439 0.0381433381689134 0.0328700443566856 0.018464452297125 0.00755607600594501 0.015445208499059 0.00870207355821027 0.0201045942704713 0.0044518556798977 0.00647633762691317 0.0168350199181334 0.0347813398152377 0.0293839511776529 0.0176094520346356 0.0304639342220425 0.0176516524987916 0.036136355720988 0.00925366985055215 0.00921774295911575 0.0159977193800327 0.0341604789395574 0.00781847482211163 0.0200890631445706 0.0136758392668291 0.00754406310752275 0.0168149797459525 0.00805967669887135 0.0152499371499926 0.0144326703629705 0.0197899398280018 0.0145918323356389 0.0155452701816296 0.0250005649262204 0.0114857038879544 0.0146170167280272 0.0242087974043465 0.0251270826056096 0.00699205142641082
"gene104.fasta" 0.00876402086564615 0.0185543615207664 0.0244790504126826 0.00183165243476347 0.0155385554545678 0.0176222835018596 0.0211744794164013 0.00904696090577372 0.0256452666510543 0.0124493201501044 0.00321596619544942 0.00476542420807582 0.0201070623273305 0.0080098137924088 0.0237054178116113 0.0310016386072676 0.0120530955168095 0.0197162827237049 0.0282940697940374 0.00629683797323626 0.0093538015172836 0.0106469255616899 0.0223863445346213 0.0117598054036838 0.00971186720453203 0.0181249681594579 0.0309551615054936 0.0286032486976615 0.00988336694878294 0.0185428384984935 0.0191205983162435 0.0169047996640381 0.00997861508714445 0.019868001685379 0.0208040781104514 0.0176232884308919 0.077405254743511 0.0173015529636035 0.0256709922348885 0.01014787460312 0.0131300292176878 0.0106825434424934 0.0182773641590439 0.0206410716382527 0.0189832102102571 0.033091164609806 0.0254505684403656 0.0218114174870158 0.0193755320308983 0.0140485476767252 0.0152891131954424 0.0114424290917454 0.0141032288594112 0.0236478641272354 0.0229609716790971
"gene105.fasta" 0.0227606716426174 0.00996105423322321 0.015403080517524 0.0427611107684383 0.0124508789194634 0.0195803917340536 0.0315968530190618 0.00697162759304998 0.00908934202779129 0.0325965972350039 0.021377858098541 0.0198726033678716 0.0246047571979743 0.0102467954518748 0.00953421077864563 0.0146009149702791 0.0119681789990154 0.0208981222903899 0.0109490415153202 0.0146725616973317 0.0203954679842432 0.00974328145382355 0.00912534973164333 0.0245666170978992 0.0131985283530592 0.0190497498572377 0.0210653633962975 0.0437891358501987 0.00985138443368095 0.0193594875776313 0.0234309401371245 0.0421432376466344 0.0285470549301178 0.0254473716962135 0.0109751850775772 0.0125102290171974 0.0122674786222124 0.0119585334215651 0.0131169505831765 0.010311604732854 0.0253485208129892 0.0224058779014915 0.0178909560567266 0.0242208576163781 0.011194911565949 0.0114839021295258 0.0154876529088046 0.0131667631188974 0.013009186871596 0.0182925797221665 0.0155842989904569 0.0125530316657202 0.0140273118385803 0.0172920871627623 0.0252924579800973
"gene106.fasta" 0.0152440119251855 0.0139720032798383 0.0264481438475939 0.0181528259156217 0.0158746596435302 0.036168009232353 0.00860604604854691 0.0286911690204858 0.0534047574206858 0.0247321704893394 0.00607664353357895 0.0225771377813894 0.0129187045187106 0.0169862105401062 0.0203145914720778 0.0174341668437728 0.0366252121251081 0.0161641500217628 0.017919049686701 0.0229172023508113 0.0228771755240798 0.021800477752628 0.0168950099722734 0.00910412107193116 0.0236572909079268 0.0118653750423088 0.023763107177435 0.00607508254273042 0.0214968764857423 0.0193883566737444 0.016489137413279 0.00754065408508743 0.0067556642957187 0.00940310010533853 0.0171877439653247 0.0176381459622662 0.0129297618743512 0.00590984716797849 0.0187955966097274 0.0103899806288942 0.0282942474106016 0.0188438460969706 0.011087828014132 0.0298861787375916 0.0102866440862498 0.0137472792026635 0.014338920187915 0.0105099992056306 0.0207538285642178 0.0167558085483805 0.0244426160815431 0.00824713455668409 0.0131449564194835 0.0322388055583591 0.0162325363736118
"gene107.fasta" 0.0121452390716783 0.0175948507065243 0.0201081186900291 0.0219987071092987 0.0068229484774051 0.010935914089815 0.0127574453826143 0.0367526239081508 0.0115929088929401 0.010080547644357 0.0487525677817867 0.0158222556551492 0.00768034369093431 0.0143726216980884 0.0114334775509198 0.0393024874497644 0.0363919254099493 0.0183123236085459 0.0187875682828878 0.0120324997890363 0.0191741729164156 0.0133910337633143 0.0352112786950011 0.00922816913398069 0.00580112105823465 0.00342932303408025 0.00751278593529094 0.0261524177492062 0.00877468671476909 0.0189359018268018 0.0121624571579288 0.0401886187069865 0.0115155762580345 0.0035231742347275 0.0226424833842434 0.0222576618025681 0.0112396217480843 0.044301871956304 0.0137262347629348 0.0100120268503473 0.0255769830899379 0.0194720880481714 0.0101256157443264 0.0226433707797091 0.0164074391860182 0.0190780512434281 0.0269071290885087 0.0235738395420831 0.0147274590727605 0.0144261109967253 0.0188858211515257 0.012515448007595 0.0284279873044397 0.00573106660592089 0.0186435975597215
