"size" "max_diss" "av_diss" "isolation"
"1" 15 9.09739547513266 6.85433253290949 1.04969572585806
"2" 14 8.87690263133097 6.03447841619727 0.986494613104515
"3" 18 9.04911719477335 5.93164083579188 1.08098236530203
"4" 5 6.30278445785794 3.834764558796 0.815058527081096
"5" 6 8.75565657250659 3.57335200081251 0.975868102118288
"6" 12 8.92666987604547 6.26653811399116 1.1444711873838
"7" 11 8.66719299288429 5.54679312970837 0.971679800498591
"8" 6 8.11896509173816 3.82572321509541 0.964465946185796
"9" 11 8.23035924412341 5.36092442382508 1.00519566823403
"10" 14 9.24323554256454 6.79300644862341 1.04031659897965
"11" 10 9.13983198140024 5.91992289653941 1.09181890134252
"12" 7 8.72485548954294 4.2099306950987 0.983383761392293
"13" 21 8.89204155381324 7.17949838782183 0.973987204974313
"14" 14 8.98511207700842 6.85587602850129 0.98815943257972
"15" 6 8.97701796624955 3.82732189007095 1.06034210149185
"16" 10 8.71497506041392 6.01905248369065 0.978157853945429
"17" 9 8.42467510283419 5.54229196108347 1.02892798096202
"18" 8 7.92153886117408 4.45796103572711 0.966627644836683
"19" 21 8.68707977755918 6.8415123282143 1.03868660330943
"20" 6 8.47300169244733 3.29586764193167 0.929902871249954
"21" 5 3.05078295967337 2.0698364826277 0.379598098367854
"22" 17 8.96446284082576 6.80556391143025 1.02961721427239
"23" 7 9.28832991424468 4.12079074772633 1.13945827007911
"24" 7 7.7831059076281 3.53387700136699 0.99214044567645
"25" 9 8.91608433508166 6.07597921106296 1.00553121435358
"26" 8 8.64280445439679 5.95758789633174 1.03105538727267
"27" 4 3.83475015564148 2.75100945113742 0.452765010814409
"28" 13 8.44019134075193 6.33537960541187 0.988040829830056
"29" 17 8.94452668527022 6.87549398435916 1.01156810176428
"30" 12 8.37238316876331 6.17292237332761 1.00105932693658
"31" 7 8.24280724323277 5.0007176108691 0.904850362660872
"32" 5 8.90987623341294 4.00488889393863 0.989494416036358
"33" 12 8.58536874438231 6.02802002844467 0.919106795868053
"34" 11 9.1592466629019 6.50141129020587 1.16756204708531
"35" 8 9.17551308103404 5.62679327959337 1.09491336202277
"36" 4 3.35861207236302 2.28068344635604 0.395578340633073
"37" 4 3.65643235128947 2.24878870647379 0.468784163946547
"38" 7 8.59185716556221 5.56971374447097 0.973005249165281
"39" 5 8.0750795588664 3.19241771294984 0.94529945900199
"40" 9 8.61349214755196 5.82754014461379 0.940260126982899
"41" 9 8.40245461679618 6.05051048801188 1.02682343238505
"42" 5 8.88807968398526 4.23022638367018 0.998304770861425
"43" 4 4.06643116860441 3.0220959394355 0.525859550000507
"44" 4 5.2420304713093 3.56594151291255 0.604847507794077
"45" 4 4.29233558628866 2.35284854872088 0.526567997358779
"46" 6 8.3191156330327 4.88249135637465 0.984090871751896
"47" 4 4.43431013040065 3.01960147380385 0.510562250437742
