"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"1" -0.00848081266264304 -0.00454965238566275 0.00385088867600381 0.00657708521906066 0.00650655933209499 0.00701986431739756 -0.00145489330830751 0.00198366583275725 -0.0110457420078045 0.000767420042025247 -0.0208782934380072 -0.0137533936904366 -0.00956482528694398 -0.00450493344470363 -0.01118256774372 -0.0171810395141149 -0.0178143620053145 -0.020954879168903 -0.0190246840074018
"2" -0.0133011974078278 -0.0171210490240594 -0.0129782480887264 -0.0131739187412918 -0.00173344084438 -0.00769529984557476 0.000309241439443931 -0.00489514970413407 -0.00957672423626264 0.00377098018976099 -0.0173595441696656 -0.00639469181289959 -0.00916560795484618 -0.0113045551530689 -0.016085930778132 -0.0220065079281881 -0.0132094678989221 -0.0302436370746716 -0.0129412786872931
"3" -0.00937214864184095 -0.00571691947061864 -0.00939993265641319 -0.00812070350885491 -0.00287066723380887 -0.00144129923528208 -0.00843908518006948 -0.010928907623395 -0.0175860752428131 -0.0083987296307409 -0.00979629413110664 -0.0119955197486746 -0.00878700547858292 -0.0178490408768661 -0.0286897112034755 -0.0152430441645312 -0.0276586818575348 -0.0457932533175676 -0.0306617350471024
"4" -0.00592635203996367 -0.012292801042994 -0.00443503589112995 -0.00433632442697279 -0.000394418117210551 0.0052532630679614 0.000670217848987111 -0.00633998303447912 -0.0130947768213966 -0.000841737634292688 -0.0192365583997931 -0.0146077598651347 -0.0040268338577899 -0.00614520192977439 -0.0196788540062741 -0.0216878117889305 -0.0111731817880271 -0.0439239284618876 -0.0131494540877038
"5" -0.00287855318211145 -0.00546499762499761 -0.00063575359006587 0.00405490397358967 0.000157416161256642 0.000361480256628487 -0.00296674049241161 -0.00869287947787603 -0.00220699208276277 -0.0107676012803077 -0.0286659341126552 -0.0133372692373114 -0.000736701448383253 -0.0099226211736882 -0.010890923285084 -0.0205381836657586 -0.0239444722258364 -0.025042337228668 -0.0117517395408711
"6" -0.0119114200649038 -0.0065760452151128 0.000144704886235598 0.00362766295811863 0.00235208150822784 -0.00460986472289711 0.000401198114839572 -0.0192328124021172 -0.0160365706783442 -0.000793254604372672 -0.0265687176512882 -0.0117440660228189 -0.00688297528564998 -0.0119092595796762 -0.0173087662645288 -0.0253946915909862 -0.0318244230090855 -0.0403693184388797 -0.014073363515384
"7" -0.0109902403322018 -0.00862301256978001 -0.00825633279457937 -0.00272278223055907 0.00555519261884294 0.00813116023953564 0.00921300474649983 0.00145675823890308 -0.00311788281285954 0.00178448753096487 -0.024753262958818 -0.0069056464959202 -0.0045304305555643 -0.00212949385321432 -0.00507838832933109 -0.0290663180989363 -0.0330336118341792 -0.0176985138111936 -0.00737790566273734
"8" -0.00253419490118391 -0.00213063351282625 -0.0165172613348542 -0.00406950819998146 -0.00779082272033495 -0.00474262977056013 -0.00661784186986539 -0.00728845404241014 -0.0146345433924751 -0.00356234366471814 -0.0198723403467813 -0.00486573287554323 0.0010840360439356 -0.00940046315829957 -0.0130779143188107 -0.00983004851347416 -0.0138608502275842 -0.0310045714057209 -0.00353348675653843
"9" -0.01327566058365 -0.00682889436754555 -0.00464614405117843 -0.00631458664010358 0.00303021799876297 0.00278000523997953 0.00170313865200444 -0.00224428517656017 -0.0302694988840516 0.00417549390986851 -0.0219971236030898 -0.0153769974973553 -0.00659716697329748 -0.00471852272333266 -0.0176558745218386 -0.0241718566217891 -0.0190498990804296 -0.036526324741871 -0.00655846374239696
"10" 0.000131648742983071 -0.00476017289019042 0.00592543000759177 0.00214987567158962 0.00409520010097391 0.00547863258013206 0.00296193478264112 0.00436769420424424 -0.00535376894416912 -0.00514928234699872 -0.0202117978624337 -0.0119615717140626 0.00428853857204243 -0.00379632125934563 -0.0233969033031442 -0.0260556429005583 -0.0216995246644255 -0.0205966439799106 -0.0169627409509903
