"br1" "br2" "br3" "br4" "br5" "br6" "br7" "br8" "br9" "br10" "br11" "br12" "br13" "br14" "br15" "br16" "br17" "br18" "br19" "br20" "br21" "br22" "br23" "br24" "br25" "br26" "br27" "br28" "br29" "br30" "br31" "br32" "br33" "br34" "br35" "br36" "br37" "br38" "br39" "br40" "br41" "br42" "br43" "br44" "br45" "br46" "br47" "br48" "br49" "br50" "br51" "br52" "br53" "br54" "br55"
"gene1.fasta" 0.027683508781385 0.00792536564283875 0.01485531491381 0.00998064676902606 0.00815839250613049 0.00796303396482486 0.0217055159142528 0.0186275785153456 0.0116795033674141 0.0625615401797006 0.0135268617056152 0.0295206874663535 0.0181997767684932 0.031298104520082 0.0194951040274195 0.0132328809450785 0.0132923090790614 0.0220834114287952 0.00463037791645125 0.0112508737071703 0.011588315316342 0.00596655483551405 0.0148635856853758 0.0179988263559277 0.0186623089431681 0.029370453252867 0.0169377276945239 0.0140471846051348 0.0220595698290843 0.00989689010093919 0.0223725892595095 0.0112773186388685 0.0165385491173792 0.0173784833802911 0.0312486507010279 0.0235865580146927 0.00885040279578554 0.0114292528732926 0.00532506689752413 0.0211251170411326 0.0389726763619423 0.0214134898337433 0.0105549564535293 0.026469189531193 0.00836965784399733 0.00498766871658451 0.0505419692962016 0.00735333158868489 0.0121239209150465 0.0209316521244757 0.0280873422645564 0.0149777071920133 0.0158112509214253 0.0266124298114674 0.0145985636875105
"gene10.fasta" 0.0170695170908625 0.0117130349164159 0.0216435982098865 0.00571901593571921 0.0344926965182498 0.018364428664343 0.0231382573148939 0.024783104440688 0.0221632406596122 0.0295023575539632 0.0166788657316126 0.0217122843217904 0.00877687514348418 0.0242052744912914 0.0113079966775627 0.0136615383608191 0.0127719607228939 0.0208353057077471 0.0200251436586187 0.0146963858018273 0.00338988673178037 0.0312653462889405 0.0184282484205592 0.01809059367425 0.0189890083319836 0.0169814115753803 0.0309085206136439 0.010400528272147 0.0222052388711184 0.0108810526883194 0.00507806740836186 0.013014549707576 0.00808251478235506 0.0328247934340822 0.0562136430901005 0.0197796076469847 0.00744622771592578 0.0106362643616204 0.00849423570336297 0.0272542759054987 0.0109263592243171 0.0139532000642001 0.0207874821997571 0.0270325423975474 0.0390472477261769 0.00859782074357394 0.00409047428474338 0.00654190574392887 0.0329238860180541 0.0154674641689784 0.0132192827761274 0.0101453669000737 0.0156676383275429 0.0253955612490255 0.0125788710296805
"gene100.fasta" 0.0221695038276311 0.00746229088424006 0.0135096922536232 0.0225199482835187 0.0320180468025984 0.00846988548095371 0.0311590677268506 0.0195283603391014 0.0276078981745783 0.011545321821593 0.0225392738653441 0.0116351795596138 0.0116851018334298 0.0140761804903753 0.0224526230139466 0.0135185054782456 0.00854679130685278 0.0301666729161423 0.0236280516569845 0.0118965042155738 0.0247333175242009 0.00931053064442275 0.0214589613241041 0.0160129291542185 0.0243438398674087 0.0173276518688808 0.018605660976557 0.0104804388140096 0.0249098490022626 0.0226930613156795 0.0113781255337712 0.0161766529323236 0.0197793163452907 0.0218275547432903 0.0204141625484765 0.01409188335951 0.0324526975239194 0.0121297822709281 0.0181187004756709 0.0183940856741819 0.00825861551359712 0.0131915365440518 0.0134084286872176 0.0220706619499769 0.0189643599205137 0.00816028926198037 0.0172273360431364 0.00974914088683738 0.0333420744235373 0.0115617633315048 0.0293355163790901 0.0252347889537575 0.0206390234787101 0.0138113727158851 0.0142709900798997
"gene101.fasta" 0.0317335664690699 0.0170113411914213 0.0143791076188649 0.0208864430477843 0.00797224109708415 0.0153465436121548 0.0260538371505436 0.0153889284459396 0.0165851114837331 0.0204161290491696 0.0078616335317611 0.012165395604768 0.0368185362836108 0.0152005511363045 0.00748453407350507 0.018045139332372 0.00748988544114273 0.0281773759515014 0.0372468468920884 0.0240417353944901 0.0190391858146311 0.0074079587231793 0.00861988388578181 0.0356346791687312 0.0113217000845726 0.0463963337808834 0.0230180231356416 0.0243935650322135 0.00439238357960406 0.0105127129241956 0.022782756877774 0.037682769481113 0.00546025496545791 0.0100958074076149 0.00891583975434835 0.0094326126898802 0.0275749439523174 0.0223647449860911 0.00677760712969885 0.0134805879016993 0.0136361092161676 0.00807082517923638 0.0169555998110829 0.0252942099987404 0.0352429182403056 0.0237094985755728 0.0124417675466734 0.00737131078091934 0.0162577949743751 0.0191751767155272 0.00875968226965678 0.00422513299660734 0.0161231045216489 0.0381067344048617 0.0190209006858859
"gene102.fasta" 0.0168036651618261 0.0186268104926162 0.0179135579206357 0.0360327765145502 0.0392159245221282 0.0091941481599466 0.0146984810040515 0.013208247323639 0.0195831461605028 0.0141367201688026 0.0150854067046676 0.0166151741159458 0.0112957274718312 0.0100978391210105 0.0166110678790269 0.0306120518739473 0.0153381323668358 0.0141122215434541 0.0121409490132925 0.00786096136186026 0.00632587081314555 0.0285114485126861 0.0206615792023684 0.0147547384212576 0.00441543615547282 0.0140117515386621 0.0385876971360941 0.0298071162837721 0.0219848418928029 0.0200975368919182 0.0251019921680478 0.030227288242733 0.0526711634765622 0.00481135774056688 0.0161879643507748 0.00682468466449508 0.0310965179901981 0.0147965569026401 0.0120158507466618 0.0184257643279387 0.00926424458601009 0.00926974322182641 0.0334028709190429 0.0149690148929695 0.020889063701497 0.0122357428427318 0.00689212553696349 0.0160563177258922 0.0105998612422992 0.0242844973991786 0.0197295418798901 0.0236963462010199 0.00813318035080034 0.00965976181534497 0.0204175213451644
"gene103.fasta" 0.0204334570925475 0.0142388456015071 0.00438354721817079 0.00851578771917856 0.00615564713173694 0.00937252030128936 0.021872753847753 0.0110347240314737 0.0296390002010584 0.0168924920792726 0.0297349733349932 0.031555647120997 0.0106115264238349 0.00425476409643173 0.0314527186941702 0.0226521651861904 0.0157718155180916 0.00780699581058531 0.00861245533518847 0.0155697346397627 0.0485850321798647 0.0162921322568445 0.009647771099826 0.0102277559169802 0.0162984328412133 0.00795721252327819 0.0128975403914443 0.0344763242163536 0.00833392145046513 0.0171066292360635 0.00902827288903069 0.0206244086160518 0.00936296277355428 0.0191439220882043 0.0310679882903589 0.00961659899712985 0.0122030393574473 0.0176529813377557 0.00732890365657989 0.0211755066069603 0.0331046050054351 0.0349663072204819 0.00697804995699206 0.0358762555910272 0.0108116364441578 0.0226303542846286 0.0158693453568611 0.020619271952566 0.0114143510865223 0.0292155925876614 0.0235847829195612 0.0321013312454194 0.0249396705923825 0.0172944863934549 0.0210050512532087
"gene104.fasta" 0.01173434855482 0.0149563100225101 0.0248184598456044 0.0254517772125085 0.00631756424685215 0.0190269991079428 0.0239028847946096 0.0136232252427464 0.0199094625127376 0.0127494061781401 0.0170373689347756 0.0138990611838853 0.0262019606764459 0.00957097893444342 0.0140836784817928 0.0205684896167708 0.0207669396191854 0.0274599607428125 0.0231297907446223 0.0231872792166943 0.0163853243750964 0.0128980102571731 0.00974616499658306 0.0120089679314769 0.0247348786380863 0.00857043639971969 0.0203362920199586 0.0431716655153628 0.0158431487332469 0.0197914139880288 0.0332186068284025 0.0252480509528585 0.0149050493634718 0.014409628579246 0.00728440176179421 0.00738613088691186 0.0171937924156321 0.0091261276911957 0.0151405756369908 0.0160198086571769 0.021232412768111 0.014936893594815 0.0180240628169737 0.01844009800781 0.0655424371187512 0.00795970966383735 0.0111010987350951 0.0108026424126712 0.00929215416473969 0.023411888674717 0.027790843337792 0.0120979423520923 0.0179907946857304 0.0110564257812207 0.0185061743873305
"gene105.fasta" 0.0224785416756856 0.0234673795459743 0.0225414691988159 0.0108920586887055 0.0126835919790547 0.0104127286394901 0.0312279914635581 0.0168709858917905 0.00954207078638131 0.0284925383829965 0.00549382589981261 0.0263398242679911 0.00908588424852448 0.00730864790057053 0.0280491307646718 0.0334153240965612 0.0135461939998006 0.00986546310755004 0.0177688005039053 0.0256038738333311 0.0167321650095461 0.0170273290680648 0.0213521081819642 0.0121660037891614 0.0199100584892511 0.0142869919849327 0.0373624242764003 0.0350756007671028 0.0224126271327314 0.00395968223905476 0.0420090157679539 0.0106062252011072 0.0376281922128549 0.0141965080586976 0.0246630388290613 0.0156607302012909 0.0191157193782252 0.0140081841691697 0.0180733583187895 0.0212172536261394 0.0243238789050481 0.0375179897717475 0.00551478980170898 0.0196216012280737 0.0179946815092708 0.0150669070313909 0.0136058190459974 0.0163269779587543 0.00483809190390092 0.00313796860209008 0.00496378123776548 0.0127334235886243 0.0124604684592063 0.0101540064633039 0.0191900729164468
"gene106.fasta" 0.0214320481301972 0.0137521075838799 0.0259652605629955 0.0302233768406339 0.00900981312284484 0.028026647756114 0.0186060044625827 0.0198706627918372 0.0329672000003883 0.0306493404581921 0.0143370371896391 0.0089672801214166 0.0115776279744615 0.0152271806358576 0.0135931876214663 0.0210806032449369 0.0279578707955671 0.00912042901740805 0.0308581073303083 0.0303060289488014 0.0128443063090514 0.0218153692737771 0.011923286316104 0.00883516115919248 0.0175018001520333 0.00826137871749731 0.0174448280430308 0.0307407340166542 0.0147093376325331 0.00433441241205648 0.0189009188867454 0.0150910960744298 0.0180739678157864 0.0163150428255135 0.0113910386778788 0.0130293768358124 0.00588436306924062 0.0166282342188653 0.0131690343528953 0.0279801701880738 0.0429389902233816 0.0184461881619612 0.00950335016029294 0.0262072167512764 0.0121671378440343 0.0112779390545786 0.0235694765060375 0.0209641110560649 0.0225382340655587 0.00393110777249734 0.0201390632662528 0.0140747974141615 0.0106735255221409 0.0261661282299423 0.0190010624051189
"gene107.fasta" 0.0128040555638363 0.00937425766856355 0.0239606780072363 0.0177771838112011 0.00644358451067256 0.0102203393705044 0.0285508253828915 0.0127125258195445 0.0396295664770769 0.00971992468975177 0.0126899898066379 0.00471597299537271 0.0229045630121611 0.0173207029521751 0.0212675878325602 0.0240935407527892 0.030672737958763 0.017946448006095 0.0198421584378413 0.0087615429344797 0.044131457402959 0.00643231248934859 0.0124892172692508 0.0059142688303787 0.0235650111680599 0.0169827431147356 0.016495773248933 0.0310533442912737 0.020151157428654 0.0232445777265422 0.0123835827992113 0.017821023379139 0.0215609035333924 0.0151154975621683 0.029620749317517 0.0351512298675665 0.031781538362795 0.0286562991741813 0.0330982070678063 0.015558606661113 0.0171003149853118 0.0195643727082765 0.00929825466450821 0.0128047159110329 0.00690249688833819 0.0293141180765421 0.00541862434218178 0.004317601989737 0.00691672462656784 0.0285468494104746 0.0161046539893149 0.0168186337485892 0.0100166918953425 0.0129492899940554 0.0113109700845477
