"" "clu_res"
"gene259.fasta" "CLUSTER4"
"gene26.fasta" "CLUSTER1"
"gene260.fasta" "CLUSTER6"
"gene261.fasta" "CLUSTER3"
"gene262.fasta" "CLUSTER6"
"gene263.fasta" "CLUSTER3"
"gene264.fasta" "CLUSTER6"
"gene265.fasta" "CLUSTER1"
"gene266.fasta" "CLUSTER2"
"gene267.fasta" "CLUSTER2"
"gene268.fasta" "CLUSTER4"
"gene269.fasta" "CLUSTER2"
"gene27.fasta" "CLUSTER4"
"gene270.fasta" "CLUSTER4"
"gene271.fasta" "CLUSTER4"
"gene272.fasta" "CLUSTER3"
"gene273.fasta" "CLUSTER6"
"gene274.fasta" "CLUSTER1"
"gene275.fasta" "CLUSTER10"
"gene276.fasta" "CLUSTER2"
"gene277.fasta" "CLUSTER8"
"gene278.fasta" "CLUSTER4"
"gene279.fasta" "CLUSTER6"
"gene28.fasta" "CLUSTER6"
"gene280.fasta" "CLUSTER4"
"gene281.fasta" "CLUSTER4"
"gene282.fasta" "CLUSTER2"
"gene283.fasta" "CLUSTER8"
"gene284.fasta" "CLUSTER1"
"gene285.fasta" "CLUSTER6"
"gene286.fasta" "CLUSTER5"
"gene287.fasta" "CLUSTER2"
"gene288.fasta" "CLUSTER4"
"gene289.fasta" "CLUSTER6"
"gene29.fasta" "CLUSTER2"
"gene290.fasta" "CLUSTER8"
"gene291.fasta" "CLUSTER2"
"gene292.fasta" "CLUSTER5"
"gene293.fasta" "CLUSTER6"
"gene294.fasta" "CLUSTER8"
"gene295.fasta" "CLUSTER2"
"gene296.fasta" "CLUSTER3"
"gene297.fasta" "CLUSTER3"
"gene298.fasta" "CLUSTER4"
"gene299.fasta" "CLUSTER6"
"gene3.fasta" "CLUSTER6"
"gene30.fasta" "CLUSTER8"
"gene300.fasta" "CLUSTER2"
"gene301.fasta" "CLUSTER2"
"gene302.fasta" "CLUSTER4"
"gene303.fasta" "CLUSTER6"
"gene304.fasta" "CLUSTER2"
"gene305.fasta" "CLUSTER8"
"gene306.fasta" "CLUSTER6"
"gene307.fasta" "CLUSTER5"
"gene309.fasta" "CLUSTER2"
"gene31.fasta" "CLUSTER6"
"gene310.fasta" "CLUSTER4"
"gene311.fasta" "CLUSTER1"
"gene312.fasta" "CLUSTER6"
"gene313.fasta" "CLUSTER8"
"gene314.fasta" "CLUSTER5"
"gene315.fasta" "CLUSTER8"
"gene316.fasta" "CLUSTER8"
"gene317.fasta" "CLUSTER6"
"gene318.fasta" "CLUSTER5"
"gene319.fasta" "CLUSTER8"
"gene32.fasta" "CLUSTER2"
"gene320.fasta" "CLUSTER8"
"gene321.fasta" "CLUSTER8"
"gene322.fasta" "CLUSTER6"
"gene323.fasta" "CLUSTER3"
"gene324.fasta" "CLUSTER4"
"gene325.fasta" "CLUSTER6"
"gene326.fasta" "CLUSTER1"
"gene327.fasta" "CLUSTER6"
"gene328.fasta" "CLUSTER6"
"gene329.fasta" "CLUSTER8"
"gene33.fasta" "CLUSTER4"
"gene330.fasta" "CLUSTER4"
"gene331.fasta" "CLUSTER4"
"gene332.fasta" "CLUSTER3"
"gene333.fasta" "CLUSTER6"
"gene334.fasta" "CLUSTER8"
"gene335.fasta" "CLUSTER6"
"gene336.fasta" "CLUSTER7"
"gene337.fasta" "CLUSTER6"
"gene338.fasta" "CLUSTER8"
"gene339.fasta" "CLUSTER7"
"gene34.fasta" "CLUSTER6"
"gene340.fasta" "CLUSTER8"
"gene341.fasta" "CLUSTER7"
"gene342.fasta" "CLUSTER6"
"gene343.fasta" "CLUSTER6"
"gene344.fasta" "CLUSTER6"
"gene345.fasta" "CLUSTER6"
"gene346.fasta" "CLUSTER6"
"gene347.fasta" "CLUSTER6"
"gene348.fasta" "CLUSTER6"
"gene349.fasta" "CLUSTER6"
"gene35.fasta" "CLUSTER6"
"gene350.fasta" "CLUSTER6"
"gene351.fasta" "CLUSTER6"
"gene352.fasta" "CLUSTER6"
