"br1" "br2" "br3" "br4" "br5" "br6" "br7" "br8" "br9" "br10" "br11" "br12" "br13" "br14" "br15" "br16" "br17" "br18" "br19" "br20" "br21" "br22" "br23" "br24" "br25" "br26" "br27" "br28" "br29" "br30" "br31" "br32" "br33" "br34" "br35" "br36" "br37" "br38" "br39" "br40" "br41" "br42" "br43" "br44" "br45" "br46" "br47" "br48" "br49" "br50" "br51" "br52" "br53" "br54" "br55"
"gene1.fasta" 0.00446981131869008 0.00654912953429538 0.00625276638134957 0.0107101505705492 0.00365994404062366 0.00631257094549688 0.022341502203949 0.0151798011543386 0.0250588916120782 0.0257107550128118 0.0118144592200013 0.027486378263948 0.0245514172964281 0.0106655559296054 0.0368882747680002 0.0591599181245308 0.00685903379139961 0.0111088990419625 0.00556243894656472 0.0155659190341999 0.031003891142783 0.0680616983483236 0.0114732631447875 0.0202039372969908 0.0204628736420572 0.00511168229269713 0.00385772806626525 0.0139488555538629 0.00433536525145611 0.0027397384208299 0.00173287614140891 0.000449222444569957 0.00136484357709787 0.00150131403666297 0.00102909553339244 0.00337911630062081 0.00520032491889568 0.0112719199003186 0.0941487607605728 0.010801817292462 0.0340180162389933 0.0285600204959776 0.0031920890548854 0.00768494044460507 0.00257112888834818 0.00701873212043789 0.0392552170113716 0.0190863771741948 0.0183579308759608 0.0311910895112892 0.0359335816214083 0.0268679748480533 0.02742904650646 0.0389923131018992 0.0318556008492372
"gene10.fasta" 0.00212508959459517 0.00416075385748335 0.00333952484935674 0.0106289091493318 0.00416852194664291 0.00125253235221938 0.0205988125382219 0.0116237317321918 0.0393256698119095 0.024188131397518 0.0141880618557121 0.0206534597276965 0.0133580892075632 0.0179713320108141 0.0703589585301301 0.060593457107972 0.00836663026341971 0.0067807759536785 0.0068460884366395 0.0128512603594559 0.0318202245166186 0.0536568334160521 0.0125460430039002 0.0211529804232786 0.0212855557576119 0.00365427211173523 0.00255629230733073 0.00953640223356473 0.00684327427836777 0.00294791576197524 8.89944437489119e-09 0.000410469916659427 0.000825240329979 0.000817482926204305 0.00175307987993259 0.00163938964446297 0.00497494165191887 0.0138913325766145 0.0289372792622152 0.0119559882517929 0.0129591224974252 0.0342851302789681 0.00392067208351325 0.00409215543178586 0.00624366829636891 0.00885759340992116 0.058555984459298 0.0308133499146106 0.0319304174635669 0.0447635133717964 0.0591486091573541 0.0398850720119687 0.0178504509646633 0.0362192524519932 0.025890210374555
"gene100.fasta" 0.00397922163502152 0.00698257664040946 0.00194794338944252 0.0084092849845455 0.00147711975202851 0.00202646152606175 0.0326986749060815 0.0163483628612428 0.0238004196006003 0.0217485820041761 0.0102430575170452 0.0264123623850886 0.0145019574769375 0.0178553552822727 0.0458369987783621 0.0636440008260466 0.00728209324892572 0.0104992574013194 0.0100140044912039 0.0258401275665892 0.0658614730454785 0.045218560970572 0.016117842541194 0.0238535840835019 0.0232998111081835 0.00192844047496758 0.000685485563375228 0.0103471234863899 0.004594397021574 0.00299188092633425 0.00179133894306875 0.000896960249262377 0.00178909861614697 0.00224056851592953 0.000835438158468042 0.010851180181527 0.00780699030491234 0.0217879330247543 0.0344736551268266 0.00660969583654239 0.015649649150598 0.0379152748428636 0.0036704543953061 0.00580432093148901 0.00595312808812502 0.00581701485712023 0.0614921276689932 0.0193899749388131 0.0230444181004557 0.0405704082030409 0.0319570164626481 0.0291485066899108 0.0221230504712566 0.03986646082211 0.0220688739248597
"gene101.fasta" 0.00392415695287605 0.00467683345317655 0.00156664751381713 0.00606871772025339 0.0029244750648999 0.00471082546231761 0.0319779741035066 0.0132218507166635 0.0655486311696461 0.0402129260216147 0.00874059516030405 0.0146348904505189 0.0185890648887334 0.00696996766191627 0.0499755241246616 0.042787876467306 0.0018823886553686 0.00721062998835582 0.0120317394679121 0.0136550379698039 0.0428067575711339 0.0533812794437039 0.00775838330166913 0.0244533909104275 0.0188518003167546 0.00220503081979908 0.00261815941047161 0.00677548408062245 0.00470221506516823 0.0050747902179602 0.00113433199333667 5.39048584278826e-09 0.00113166615767174 0.00188787205108632 5.39048584278826e-09 0.0232420429586588 0.00895595928443461 0.0103225860834868 0.0267983029603407 0.00417673025423601 0.0181033654576969 0.0255993671304926 0.00288770964863653 0.0046296670842376 0.0045449817883546 0.00833554786040871 0.0311180732419032 0.0148348655353602 0.021955396339735 0.102021331438014 0.0599116745255223 0.0350851114870186 0.0128027974144316 0.0399822514514785 0.020600312921124
"gene102.fasta" 0.00480816967108943 0.00732411342973594 1.22611046221422e-08 0.00838789866070954 0.00299874671278174 0.00755336306333692 0.034157278382592 0.00920531047048127 0.0227097193251455 0.0268404161235374 0.00821029708993752 0.0289766388938967 0.0126458008258265 0.00541430597066715 0.0532454918327543 0.0561429889821561 0.0039029163001557 0.00438159343182112 0.00677225780663948 0.0280078493407666 0.0386640165283987 0.0798653051074751 0.0098160349452969 0.0289056878908295 0.0252794811941619 0.00321706769033095 0.00408315328256408 0.0118921575363747 0.00264529917750304 0.00300414949374074 0.00750822847324692 1.22611046221422e-08 0.00637607278730382 0.000682520908266097 0.0023884221620939 0.00207847524079773 0.00514372188017613 0.0170977084643067 0.027539796863325 0.00619267090726486 0.019057251549376 0.0321111115619945 0.000779205686549586 0.00423752119790764 0.000762851672921653 0.0050020962086873 0.0595025935426792 0.0180871956693607 0.0316498876860723 0.0381276512820325 0.0341325642625382 0.0335316489963396 0.017858991830739 0.0614619705878697 0.0296323068952351
"gene103.fasta" 0.00480816967108943 0.00732411342973594 1.22611046221422e-08 0.00838789866070954 0.00299874671278174 0.00755336306333692 0.034157278382592 0.00920531047048127 0.0227097193251455 0.0268404161235374 0.00821029708993752 0.0289766388938967 0.0126458008258265 0.00541430597066715 0.0532454918327543 0.0561429889821561 0.0039029163001557 0.00438159343182112 0.00677225780663948 0.0280078493407666 0.0386640165283987 0.0798653051074751 0.0098160349452969 0.0289056878908295 0.0252794811941619 0.00321706769033095 0.00408315328256408 0.0118921575363747 0.00264529917750304 0.00300414949374074 0.00750822847324692 1.22611046221422e-08 0.00637607278730382 0.000682520908266097 0.0023884221620939 0.00207847524079773 0.00514372188017613 0.0170977084643067 0.027539796863325 0.00619267090726486 0.019057251549376 0.0321111115619945 0.000779205686549586 0.00423752119790764 0.000762851672921653 0.0050020962086873 0.0595025935426792 0.0180871956693607 0.0316498876860723 0.0381276512820325 0.0341325642625382 0.0335316489963396 0.017858991830739 0.0614619705878697 0.0296323068952351
"gene104.fasta" 0.00326008521127977 0.012204392036588 0.00173207493599332 0.00472533853962785 0.00126167656929498 0.0022465974492318 0.0260457457646392 0.0196292585574166 0.029728505357949 0.0140354802698122 0.0113623363617572 0.0211706392525828 0.0170190714786276 0.0483432661464853 0.100283536398989 0.0321490518240963 0.00418084839321648 0.0174188683163664 0.00738169488641757 0.015260150709536 0.0500406831108813 0.0536354561963933 0.00405120766903 0.0183246980729238 0.03116181695838 0.00570102166515659 0.00209686873882427 0.0112984110638106 0.0045112489207176 0.00217605837948024 0.00307887017667067 1.77969601547072e-06 0.0010180167579161 0.00235567975255316 0.000723029280537078 0.00292588905277325 0.00461890789250567 0.0131915364781818 0.0168615969925952 0.00727268918113898 0.0120242672230494 0.0213533829797848 0.00560444703137129 0.00613013064940011 0.00246892835872397 0.0133110984123778 0.0401730102069866 0.0168582001379613 0.00991278015099268 0.0497981792568377 0.0526862396970403 0.0280798767670477 0.0426073147162887 0.0409051327837483 0.0336029271319963
"gene105.fasta" 0.00237368935056223 0.00472244634488892 9.1279656212986e-09 0.00821690745375022 0.00350766299142378 0.0056171824411192 0.029329855322631 0.0162245477591587 0.0270865738669369 0.0394043122318988 0.00819371584802407 0.0599604118359047 0.0209186432206281 0.00944767750977415 0.0553078658150995 0.0472307579205503 0.00501426066297363 0.013616862882103 0.00554908014918039 0.020832454513809 0.0375239630342192 0.0805206248206984 0.0090838234431571 0.0234301210469649 0.0181120107273097 0.0036193305804664 0.00300377384035995 0.0118153533018173 0.00420491247166167 0.00217053256281503 0.00197073081633812 0.000579120110679025 0.00374276122454256 0.0018724527990871 0.00156475568481464 0.00545745246554538 0.00778378100045009 0.0142700656426382 0.0261623319221458 0.00957991339842148 0.00985947645953377 0.0317924513230557 0.00221749978059497 0.00490635375560394 0.00265465193418348 0.010602793006873 0.0413439936898991 0.0241550428175765 0.0258196531684985 0.0416955121023736 0.0353844965603902 0.030810282988953 0.0202731544764555 0.0413401151807947 0.0281217946126999
"gene106.fasta" 0.00404322264555895 0.0051342411933196 0.000649839717082788 0.00992816040787965 0.00206123571144728 0.00582204066757547 0.0279773150187224 0.0150554013153543 0.0176582418756311 0.0171473666563634 0.013715828477294 0.0526079189749599 0.0124438794747037 0.0160774067610275 0.064737770285056 0.0221505387063697 0.00613238468012126 0.00456198195635754 0.010879679387045 0.0170796625413836 0.037459877358104 0.0514093372316394 0.0104995270582739 0.0254724458716811 0.0268144116788272 0.00919059197632305 3.97324968184007e-09 0.0133099718732389 0.00443979986801908 0.00241358078784715 0.0019491764950172 0.000414211576530903 0.00194407378395201 0.00116639086655795 0.00269860077463933 0.00132833722301124 0.00522521800643033 0.0129909474782737 0.0353023652892809 0.00643178308511229 0.0191212128866134 0.0302216517037553 0.000846531627467936 0.00620915120150415 0.00181541562602792 0.00529995183314224 0.0416062880831484 0.0223451456070999 0.0149518253791547 0.0338254052369792 0.101272852034116 0.0355619634138139 0.0240815496297935 0.0598207058545149 0.0266955811736056
"gene107.fasta" 8.51101150642951e-09 0.00278130460384074 8.51101150642951e-09 0.0145323236180584 0.00342582308305054 0.00210972072419388 0.0765015528887713 0.0248345190723072 0.0140027828827599 0.119629046594633 0.00169335464948585 0.048299015771148 0.0109066930764131 0.00885145380506517 0.0145243140242839 0.0606036636543777 8.51101150642951e-09 0.00343667263284674 0.00411667547145288 0.0299981820099916 0.0231009421271555 0.0326830473926241 0.0100803386704914 0.011078409150858 0.0146403162769497 0.00113130947014132 0.00183953934054769 0.012730357367647 0.00536940398838262 0.00386824079459307 0.00246476376179656 0.00122401677621541 0.00255751786311411 0.00248105138749965 0.00715977480352471 0.000998101826421953 0.00818647637511168 0.066143240948278 0.0300881145748186 0.00473584803668907 0.0177324049716772 0.021252954028895 0.00459684606995199 0.00276230659290405 8.51101150642951e-09 0.00486724360945961 0.0316358607074441 0.00369079722559282 0.00426183468690923 0.0371410170111301 0.0563069248930921 0.0233644887390153 0.0274881347442118 0.0322719520979764 0.0498192910821543
