"size" "max_diss" "av_diss" "isolation"
"1" 4 0.101823209043911 0.0611859097884747 0.825048548094032
"2" 316 0.12421948599153 0.0546001610187713 2.60516874333831
"3" 59 0.102362857033203 0.0578276758855994 2.14678489041479
"4" 2 0.118278688274769 0.0591393441373845 0.862378524268773
"5" 4 0.128980098464841 0.0699532437484729 1.27256949073883
"6" 7 0.0994313456612149 0.0747621118297433 1.11698817672124
"7" 10 0.0909098289515496 0.0715511686637807 0.870069339524565
"8" 4 0.093477068845787 0.0558075755692592 0.954156102929362
"9" 15 0.177967121401679 0.0703437109028967 2.34904834954707
"10" 4 0.124038914861426 0.067243140447423 0.909126751679724
"11" 2 0.0608280790424948 0.0304140395212474 0.558604239756513
"12" 1 0 0 0
"13" 1 0 0 0
"14" 1 0 0 0
"15" 1 0 0 0
